Year,State,Metadata
,Tennessee,"Low- and Medium-Speed Vehicle Access to Roadways, A low-speed vehicle is any four-wheeled electric vehicle, excluding golf
carts, that achieves speeds of at least 20 miles per hour (mph) but not
more than 25 mph. Low-speed vehicles may access roadways with speed
limits of up to 35 mph. A medium-speed vehicle is any four-wheeled
electric or gasoline vehicle that has a maximum speed of over 30 mph,
but not more than 35 mph. Medium-speed vehicles may not operate on
interstate highways or on any road or street that has a posted speed
limit greater than 40 mph. Low- and medium-speed vehicles must comply
with the safety standards in Title 49 of the Code of Federal
Regulations, section 571.500.

(Reference [Tennessee Code 55-8-101 and 55-8-191](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 90.0, NEVS, DREST, FLEET|GOV|IND, https://www.tncourts.gov/Tennessee%20Code"
,Rhode Island,"Biodiesel Tax Exemption, Biodiesel is exempt from the \$0.34 per gallon state motor fuel tax.
Biodiesel may be blended with other fuel for use in motor vehicles, but
only the biodiesel portion of the blended fuel is exempt. Biodiesel is
defined as fuel that is derived from vegetable oils or animal fats and
conforms to [ASTM](https://www.astm.org/Standard/index.html) Standard
D6751 specifications for use in diesel engines and results in employment
at a manufacturing facility for biodiesel fuel. Biodiesel must be
produced at a manufacturing facility in Rhode Island.

(Reference [Rhode Island General Laws 31-36-1(6)](http://webserver.rilin.state.ri.us/Statutes/)), State Incentives, 10.0, BIOD, EXEM|TAX, STATION|AFP|PURCH, http://webserver.rilin.state.ri.us/Statutes/, amended"
2004,Pennsylvania,"Alternative Fuel Vehicle (AFV) Rebate, The Pennsylvania Department of Environmental Protection (DEP) AFV
Program offers rebates to assist eligible residents with the cost of the
purchase or lease of new or qualifying pre-owned AFVs, including
all-electric vehicles (EVs), plug-in hybrid electric vehicles (PHEVs),
compressed natural gas (CNG) vehicles, electric motorcycles, and propane
vehicles. Applicants must meet income eligibility requirements for the
program and eligible AFV purchase price not exceed \$45,000. Rebates are
available in the following amounts:

  Vehicle Type                                               Rebate Amount
  ---------------------------------------------------------- ---------------
  EV (new or pre-owned)                                      \$3,000
  PHEV (new or pre-owned)                                    \$1,500
  CNG, Propane, and Electric Motorcycle (new or pre-owned)   \$500

An additional rebate of \$1,000 is available for all applicants that
meet the [low-income
requirement](https://aspe.hhs.gov/poverty-guidelines), as defined by the
U.S. Department of Health and Human Services. Applications much be
received within six months of vehicle purchase. Rebates are awarded on a
first-come, first-served basis. For more information, including forms
and detailed requirements and restrictions, see the [DEP AFV
Rebates](https://www.pa.gov/agencies/dep/programs-and-services/grants-loans-rebates/alternative-fuel-vehicle-rebates-for-consumers.html)
website.

(Reference [Title 73 Pennsylvania Statutes, Chapter 18E, Section 1647.3](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm)), State Incentives, 15.0, ELEC|HY|NG|PHEV|LPG, RBATE, IND, https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm, amended"
,Oklahoma,"Alternative Fuel Vehicle (AFV) Tax Credit, For tax years beginning before December 31, 2028, a one-time income tax
credit is available for up to \$50,000 towards the cost of purchasing a
new original equipment manufactured AFV or converting a vehicle to
operate on an alternative fuel. Tax credit amounts vary depending in the
gross vehicle weight rating (GVWR) of the vehicle:

  GVWR                           Maximum Amount
  ------------------------------ ----------------
  6,000 pounds (lbs.) or below   \$5,500
  6,001 lbs. to 10,000 lbs.      \$9,000
  10,001 lbs. to 26,500 lbs.     \$26,000
  Greater than 26,501 lbs.       \$100,000

The state also provides a tax credit of 10% of the total vehicle cost,
up to \$1,500, if the incremental cost of a new AFV cannot be determined
or when an AFV is resold, as long as a tax credit has not been
previously taken on the vehicle. Equipment used for conversions must be
new, not previously used to modify or retrofit any vehicle, meet
applicable federal and state safety standards, and must be installed by
a state certified alternative fuels equipment technician. Eligible
alternative fuels include natural gas, propane, and hydrogen. Tax
credits may be carried forward for up to five years.

(Reference [Oklahoma Statutes 68-2357.22](http://www.oklegislature.gov/)), State Incentives, 10.0, AFTMKTCONV|HY|NG|LPG, TAX, MAN|FLEET|IND, http://www.oklegislature.gov/index.aspx|http://www.oklegislature.gov/index.aspx|http://www.oklegislature.gov/, amended"
,Oklahoma,"Alternative Fueling Infrastructure Tax Credit, For tax years beginning before December 31, 2028, a tax credit is
available for up to 45% of the cost of installing commercial alternative
fueling infrastructure. Eligible alternative fuels include natural gas,
propane, hydrogen, and electricity. The infrastructure must be new and
not previously installed or used to fuel alternative fuel vehicles. A
tax credit is also available for up to 50% of the cost of installing a
residential propane, compressed natural gas, or liquefied natural gas
fueling system for noncommercial purposes, up to \$2,500. The tax credit
may be carried forward for up to five years.

(Reference [Oklahoma Statutes 68-2357.22](http://www.oklegislature.gov/)), State Incentives, 15.0, ELEC|HY|NG|PHEV|LPG, TAX, STATION, http://www.oklegislature.gov/|http://www.oklegislature.gov/|http://www.oklegislature.gov/|http://www.oklegislature.gov/, amended"
,Tennessee,"Biofuel Quality Inspection and Testing, The Tennessee Department of Agriculture may inspect and test ethanol and
methanol under the Kerosene and Motor Fuels Quality Inspection Act of
1989.

(Reference [Tennessee Code 47-18-1306 and 54-1-136](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 65.0, BIOD|ETH, STD, STATION, https://www.tncourts.gov/Tennessee%20Code"
2005,Rhode Island,"Alternative Fuel Vehicle (AFV) and Zero Emission Vehicle (ZEV) Acquisition Requirements, To reduce fuel consumption and pollution emissions, and purchase
vehicles that provide the best value on a life cycle cost basis, the
state must take the following actions:

-   At least 75% of state motor vehicle acquisitions must be AFVs, and
    the remaining 25% must be HEVs to the greatest extent possible. By
    2025, 25% of state motor vehicle acquisitions must be ZEVs;
-   All new light-duty trucks in the state fleet must achieve a minimum
    city fuel economy of 19 miles per gallon (mpg) and achieve at least
    a Low Emission Vehicle certification, and all new passenger vehicles
    in the state fleet must achieve a minimum city fuel economy of 23
    mpg;
-   All state agencies must purchase the most economical,
    fuel-efficient, and lowest emission vehicles appropriate to meet
    requirements and discourage the purchase of sport utility vehicles;
-   All state agencies must purchase low rolling resistance tires with
    superior tread life for state vehicles when possible; and
-   All state vehicles must be maintained according to manufacturer
    specifications, including specified tire pressures and ratings.

The state must also prepare an annual report to the governor on
compliance with these goals.

(Reference [Executive Order 15-17, 2015](http://www.energy.ri.gov/documents/leadbyexample/ExecOrder15-17.pdf) and [Executive Order 05-13, 2005](http://www.afdc.energy.gov/pdfs/Exec_order_5_13_green_clean_vehicles.pdf)), Laws and Regulations, 30.0, BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG, REQ, GOV, http://www.energy.ri.gov/documents/leadbyexample/ExecOrder15-17.pdf|http://www.afdc.energy.gov/pdfs/Exec_order_5_13_green_clean_vehicles.pdf, amended"
,Oregon,"Low-Speed Vehicle and Medium-Speed Electric Vehicle (EV) Access to Roadways, A low-speed vehicle is defined as a four-wheeled motor vehicle capable
of reaching speeds of more than 20 miles per hour (mph) but not more
than 25 mph. A low-speed vehicle may not operate on a highway that has a
posted speed limit of more than 35 mph. A medium-speed EV is defined as
a four-wheeled electric motor vehicle that is equipped with a roll cage
or a crushproof body design and is capable of reaching speeds of up to
35 mph. A medium-speed EV may not operate on a highway that has a posted
speed limit of more than 45 mph. A city or county may adopt ordinances
that allow the operation of low-speed vehicles or medium-speed EVs on
city streets or county roads that have posted speed limits greater than
35 mph and 45 mph, respectively. Low-speed vehicles and medium-speed EVs
must comply with certain standards contained in Title 49 of the [U.S.
Code of Federal
Regulations](https://www.govinfo.gov/app/collection/uscode), section
571.500.

(Reference [Oregon Revised Statutes 801.331, 801.341, and 811.512-811.513](http://www.leg.state.or.us/ors/home.htm) and [Oregon Administrative Rules 737-010-0010](http://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx)), Laws and Regulations, 110.0, NEVS, DREST, FLEET|GOV|IND, http://www.leg.state.or.us/ors/home.htm|http://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx, amended"
,Pennsylvania,"Alternative Fuel and Idle Reduction Grants, The Small Business Advantage Grant Program provides matching grants of
up to 80% of project costs, up to \$12,000, to enable a Pennsylvania
small business to adopt or acquire energy-efficient or pollution
prevention processes or equipment. Pennsylvania trucking companies and
independent truckers may use the funding to purchase U.S. Environmental
Protection Agency SmartWay verified anti-idling technologies. Projects
may not begin until applications are approved. Grants are available on a
first-come, first-served basis. For more information, see the [Small
Business Advantage Grant
Program](https://www.dep.pa.gov/Citizens/GrantsLoansRebates/SmallBusinessOmbudsmanOffice/Pages/Small%20Business%20Advantage%20Grant.aspx)
website.
, State Incentives, 20.0, EFFEC|IR, GNT, FLEET"
,Tennessee,"Propane and Natural Gas Liability Immunity, An individual or entity that supplies, handles, transports, or sells
propane or natural gas at a retail station is immune from civil
liability if incorrect use of the fueling equipment causes injury or
damage. To be immune, the fuel provider must exercise reasonable care of
the equipment and take reasonable steps to warn the customer of the
hazards associated with misuse of the equipment.

(Reference [Tennessee Code 29-34-202 and 29-34-207](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 70.0, LPG, REGIS, STATION, https://www.tncourts.gov/Tennessee%20Code"
,Oklahoma,"Ethanol Fuel Retailer Tax Credit, Retailers that sell fuel blends of gasoline containing up to 15% ethanol
by volume (E15) are eligible for a motor fuel tax credit of \$0.016 per
gallon of ethanol blended into gasoline and sold in Oklahoma, as long as
the retailer provides a price reduction to the purchaser of the ethanol
fuel in the same amount. This incentive is effective unless the federal
government mandates the use of reformulated fuel in an area within
Oklahoma that is in nonattainment with the National Ambient Air Quality
Standards.
, State Incentives, 35.0, ETH, TAX, STATION, http://www.oklegislature.gov/"
,Rhode Island,"Idle Reduction Requirement, Motor vehicles may not idle unnecessarily for longer than five
consecutive minutes during any 60-minute period. This includes
heavy-duty diesel vehicles used to perform any state public works
contracts. Unnecessary idling does not include circumstances exempted by
regulations the Rhode Island Department of Environmental Management
(DEM) has adopted, such as when it is necessary to operate heating and
cooling equipment to ensure the health or safety of drivers and
passengers. Other vehicles exempt from these requirements include, but
are not limited to, the following:

-   Emergency response, public safety, or military vehicles
-   Armored vehicles being loaded or unloaded
-   Non-road vehicles
-   Vehicles making deliveries of fuel or energy products.

Violators of these regulations will be fined up to \$100 for the first
offense and up to \$500 for each succeeding offense.

(Reference [Rhode Island General Laws 23-23-29.2, 31-16.1 and 31-41.1-4](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 40.0, IR, AIRQEMISSIONS|DREST, FLEET|GOV|IND, http://webserver.rilin.state.ri.us/Statutes/, amended"
,Rhode Island,"Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards, Rhode Island has adopted the California motor vehicle emissions
standards and compliance requirements specified in Title 13 of the
[California Code of Regulations](https://oal.ca.gov/). These regulations
apply to passenger vehicles, light-duty trucks, and medium-duty
vehicles. Manufacturers must meet the [greenhouse gas emissions
standard](https://www.afdc.energy.gov/laws/6493) and the [ZEV production
and sales requirements](%20https://www.afdc.energy.gov/laws/4249).

(Reference [Rhode Island Department of Environmental Management Regulation Chapter 12-05-37](http://www.dem.ri.gov/pubs/regs/index.htm)), Laws and Regulations, 25.0, OTHER, AIRQEMISSIONS, MAN, http://www.dem.ri.gov/pubs/regs/index.htm"
2006,Ohio,"Diesel Emissions Reduction Grant Program, The Ohio Environmental Protection Agency (Ohio EPA) provides Diesel
Emissions Reduction Grants (DERG) for projects that reduce emissions by
retiring and replacing diesel public transit buses. Eligible projects
must achieve a minimum funding match of 20% from non-state and
non-federal sources. Funding for this program is provided by the U.S.
Department of Transportation Federal Highway Administration's
[Congestion Mitigation and Air Quality Improvement (CMAQ)
Program](https://www.fhwa.dot.gov/environment/air_quality/cmaq/). For
more information, including application periods, see the Ohio EPA
[DERG](https://epa.ohio.gov/divisions-and-offices/environmental-education/grant-programs/diesel-emission-reduction-grants)
website.

(Reference [Ohio Revised Code 122.861](http://codes.ohio.gov/orc/)), State Incentives, 30.0, BIOD|ETH|ELEC|HEV|IR|NG|LPG, GNT, STATION|MAN|FLEET|GOV, http://codes.ohio.gov/orc/, enacted"
2003,Ohio,"Alternative Fuel Vehicle Acquisition and Fuel Use Requirements, With the exception of law enforcement vehicles, all newly acquired state
agency vehicles must be capable of using an alternative fuel and must
use the relevant alternative fuel if it is reasonably priced and
available. Alternative fuel is defined as any fuel containing 85% or
more ethanol (E85), fuel blends containing at least 20% biodiesel (B20),
natural gas, propane, hydrogen, electricity, or any other fuel that the
U.S. Department of Energy has determined is substantially not petroleum.
State agencies must also meet the annual average fuel economy
requirement set by the Ohio Department of Administrative Services on all
passenger automobiles purchased. Law enforcement and emergency rescue
work vehicles are exempt from this requirement. The Office of the Ohio
Treasurer established a biodiesel revolving fund in which funds
appropriated by the Ohio General Assembly can be used to pay for the
incremental cost of biodiesel used in state owned or leased diesel
vehicles.

(Reference [Ohio Revised Code 125.831-125.836](https://codes.ohio.gov/ohio-revised-code)), Laws and Regulations, 60.0, BIOD|ETH|ELEC|HY|NG|PHEV|LPG, REQ, GOV, https://codes.ohio.gov/ohio-revised-code, amended"
,South Dakota,"Ethanol Blend Definition, An ethanol blend is defined as a blended motor fuel containing ethyl
alcohol that is at least 99% pure, derived from agricultural products,
and blended exclusively with gasoline.

(Reference [South Dakota Statutes 10-47B-3](https://sdlegislature.gov/Statutes/Codified_Laws)), Laws and Regulations, 70.0, ETH, STD, STATION|AFP|PURCH, https://sdlegislature.gov/Statutes/Codified_Laws, amended"
,South Dakota,"Fuel Quality Standards, The South Dakota Department of Public Safety may authorize fuel quality
standards and enforce fuel rules that conform to appropriate
[ASTM](https://www.astm.org/Standard/index.html) standards, including:

-   Standards for the maximum volume percentages of ethanol and methanol
    in alcohol blended fuels;
-   A program and prescribed methods for the inspection and testing of
    alcohol blended fuels, petroleum products, biodiesel, and biodiesel
    blends;
-   Labeling requirements for devices dispensing alcohol blended fuels,
    biodiesel, and biodiesel blends;
-   Standards setting the specifications and tolerance requirements for
    petroleum products, biodiesel, and biodiesel blends; and
-   Regulations for filtering systems used on devices dispensing alcohol
    blended fuels.

(Reference [South Dakota Statutes 37-2-6](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), Laws and Regulations, 45.0, BIOD|ETH, STD, STATION|AFP|PURCH, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx"
2007,South Dakota,"Ethanol Production Facility Fee, The cost to submit an air quality permit application for an ethanol
production plant is \$1,000. An annual renewal fee is also required for
the duration of the air quality permit. The annual renewal fee includes
an administrative fee of \$1,000 and an emissions fee equaling \$40 per
ton of particulate matter, sulfur dioxide, nitrogen oxide, volatile
organic compounds, and hazardous air pollutants emitted during the
previous calendar year. The annual fee must be paid to the South Dakota
Department of Revenue and Regulation by July 31 following the year in
which the permit is issued and annually thereafter.

(Reference [South Dakota Statutes 34A-1-58.1](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), Laws and Regulations, 35.0, ETH, STD|REGIS, AFP, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, enacted"
,Oklahoma,"Biofuels Tax Exemption, Biodiesel or other biofuels produced by an individual from feedstocks
grown on the individual\'s property and used in the individual\'s own
vehicle are exempt from the state motor fuel excise tax. (Reference
[Oklahoma Statutes](http://www.oklegislature.gov/) 68-500.4 and
68-500.10)
, State Incentives, 40.0, BIOD|ETH, EXEM|TAX, AFP, http://www.oklegislature.gov/"
,Tennessee,"Alternative Fuel and Fuel-Efficient Vehicle Acquisition and Use Requirements, The Tennessee Department of General Services must ensure that at least
25% of newly purchased passenger motor vehicles procured for use in
areas designated as ozone nonattainment areas are all-electric vehicles
(EVs), hybrid electric vehicles (HEVs), natural gas vehicles (NGVs), or
propane powered vehicles, provided that such vehicles are available at
the time of procurement. If these vehicles are not available,
conventional gasoline vehicles achieving an average fuel economy of at
least 25 miles per gallon (mpg) may satisfy the requirement. In areas
not designated as ozone nonattainment areas, at least 25% of newly
purchased passenger motor vehicles must be EVs, HEVs, NGVs, propane
powered vehicles, or conventional gasoline vehicles achieving an average
fuel economy of at least 25 mpg. For non-passenger vehicles, state
fleets must make a reasonable effort to purchase at least 5% of these
vehicles as natural gas or propane vehicles.

State fleets must make every effort to ensure that 100% of newly
purchased motor vehicles are energy-efficient vehicles. Energy-efficient
vehicles are defined as passenger vehicles that use alternative fuels,
as defined by the Energy Policy Act of 1992; HEVs; conventional gasoline
vehicles achieving an average fuel economy of at least 25 mpg; or
vehicles powered by ultra-low sulfur diesel achieving an average fuel
economy of at least 30 mpg. Additionally, state agencies should use
ethanol and biodiesel in appropriate state-owned vehicles whenever
possible and support the development of biofuels fueling infrastructure.

The Tennessee Department of General Services must inventory the state's
passenger vehicle fleet and prepare annual progress reports that outline
the fleet's cost savings, pollution avoidance, and petroleum
displacement.

(Reference [Tennessee Code 4-3-1109](https://www.tncourts.gov/Tennessee%20Code)), Laws and Regulations, 50.0, BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|LPG, REQ, GOV, http://www.state.tn.us/sos/pub/execorders/index.htm|https://www.tncourts.gov/Tennessee%20Code, amended"
,Rhode Island,"Clean School Bus Requirements, Full-size school buses equipped with an engine from Model Year (MY) 1993
or older may not be used to transport school children in Rhode Island.
Additionally, provided that there is sufficient federal or state
funding, all full-size school buses transporting children in the state
must be retrofitted with a closed crankcase ventilation system and
either: 1) be equipped with a Level 1, Level 2, or Level 3 emissions
control retrofit device that the U.S. Environmental Protection Agency
(EPA) or the California Air Resources Board (CARB) has verified; 2) be
equipped with a MY 2007 or newer engine; or 3) achieve the same or
greater reductions in diesel particulate matter as compared to an
alternative fuel, such as compressed natural gas, and be verified by
CARB or EPA to reduce diesel particulate matter emissions at a level
equivalent to or greater than a MY 2007 or newer engine.

(Reference [Rhode Island General Laws 31-47.3-3](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 20.0, NG|OTHER, REQ|AIRQEMISSIONS, MAN|FLEET, http://webserver.rilin.state.ri.us/Statutes/, amended"
2007,Oregon,"Biofuels Production Property Tax Exemption, Property used to produce biofuels, including ethanol and biodiesel, may
be eligible for a property tax exemption if it is located in a
designated Rural Renewable Energy Development Zone. The Oregon Business
Development Department must receive and approve an application from a
qualified rural area to designate the area as a Rural Renewable Energy
Development Zone. For more information, see the Business Oregon [Rural
Renewable Energy Development
Zone](https://www.oregon.gov/biz/programs/RuralRenewableEnergyDevelopment%28RRED%29Zone/Pages/default.aspx)
website.

(Reference [Oregon Revised Statutes 285C.350 through 285C.370](http://www.leg.state.or.us/ors/home.htm)), State Incentives, 14.0, BIOD|ETH, EXEM|TAX, AFP, http://www.leg.state.or.us/ors/home.htm, enacted"
