Statute,Document Link,state
"Title 32, §12513-A: Scope of practice",https://legislature.maine.gov/legis/statutes/32/title32sec12513-A.html,Maine
"Title 10, §1415-F: Manual of Accepted Practices",https://legislature.maine.gov/legis/statutes/10/title10sec1415-F.html,Maine
"Title 32, §1255: Exemptions",https://legislature.maine.gov/legis/statutes/32/title32sec1255.html,Maine
"Title 35-A, §10102: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10102.html,Maine
"Title 38, §480-II: Small-scale wind energy development; permit requirements",https://legislature.maine.gov/legis/statutes/38/title38sec480-II.html,Maine
"Title 5, §1753: Employment of owner's representative",https://legislature.maine.gov/legis/statutes/5/title5sec1753.html,Maine
"Title 35-A, §10124: Agricultural fair assistance program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10124-1.html,Maine
"Title 35-A, §3140: Regulation of foreign electric utility",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3140.html,Maine
"Title 38, §484-C: Solar energy compensation fee for impact to high-value agricultural land",https://legislature.maine.gov/legis/statutes/38/title38sec484-C.html,Maine
"Title 22, §684: Federal - State agreements",https://legislature.maine.gov/legis/statutes/22/title22sec684.html,Maine
"Title 37-B, §923: Party state responsibilities--Article III",https://legislature.maine.gov/legis/statutes/37-B/title37-Bsec923.html,Maine
"Title 10, §174: Regional compacts",https://legislature.maine.gov/legis/statutes/10/title10sec174.html,Maine
"Title 20-A, §15683-C: Education service center members; calculation of education service center administration allocation and state contribution",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec15683-C.html,Maine
"Title 10, §1044: Issuance of revenue obligation securities",https://legislature.maine.gov/legis/statutes/10/title10sec1044.html,Maine
"Title 38, §1771: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec1771.html,Maine
"Title 38, §1461-A: Disapproval of high-level radioactive waste repository",https://legislature.maine.gov/legis/statutes/38/title38sec1461-A.html,Maine
"Title 35-A, §3503: Rates for consumer-owned transmission and distribution utilities",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3503.html,Maine
"Title 36, §3203: Tax levied; consignment sales; credited to Highway Fund; allowance for losses",https://legislature.maine.gov/legis/statutes/36/title36sec3203.html,Maine
"Title 38, §484: Standards for development",https://legislature.maine.gov/legis/statutes/38/title38sec484.html,Maine
"Title 10, §1493: Express warranty",https://legislature.maine.gov/legis/statutes/10/title10sec1493.html,Maine
"Title 36, §1752: Definitions",https://legislature.maine.gov/legis/statutes/36/title36sec1752.html,Maine
"Title 35-A, §3453: Additions to the expedited permitting area",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3453.html,Maine
Title 32: PROFESSIONS AND OCCUPATIONS,https://legislature.maine.gov/legis/statutes/32/title32ch0sec0.html,Maine
"Title 5, §1812-E: Purchasing of vehicles; fuel efficiency",https://legislature.maine.gov/legis/statutes/5/title5sec1812-E.html,Maine
"Title 38, §480-D: Standards",https://legislature.maine.gov/legis/statutes/38/title38sec480-D.html,Maine
"Title 26, §1304: Definitions",https://legislature.maine.gov/legis/statutes/26/title26sec1304.html,Maine
"Title 35-A, §3605: Renewable energy credit multiplier",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3605.html,Maine
"Title 35-A, §10106: Freedom of access; confidentiality",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10106.html,Maine
"Title 20-A, §10952: Powers",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec10952.html,Maine
"Title 35-A, §10006: Energy efficiency of rental properties",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10006.html,Maine
Title 26: LABOR AND INDUSTRY,https://legislature.maine.gov/legis/statutes/26/title26ch0sec0.html,Maine
"Title 10, Chapter 3: PEACEFUL USES OF ATOMIC ENERGY",https://legislature.maine.gov/legis/statutes/10/title10ch3sec0.html,Maine
"Title 38, §1463: Area studies",https://legislature.maine.gov/legis/statutes/38/title38sec1463.html,Maine
"Title 10, §103: Duties of Human Services",https://legislature.maine.gov/legis/statutes/10/title10sec103.html,Maine
"Title 35-A, §3210-H: Floating offshore wind research array; project labor agreements",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3210-H-1.html,Maine
"Title 30-A, Chapter 3: COUNTY BUDGET AND FINANCES",https://legislature.maine.gov/legis/statutes/30-A/title30-Ach3sec0.html,Maine
"Title 10, §202: Injunctive relief",https://legislature.maine.gov/legis/statutes/10/title10sec202.html,Maine
"Title 10, §1099-A: Definitions",https://legislature.maine.gov/legis/statutes/10/title10sec1099-A.html,Maine
"Title 35-A, §3408: Offshore wind energy procurement",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3408.html,Maine
"Title 35-A, §3603: Community-based renewable energy pilot program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3603.html,Maine
"Title 35-A, §3455: Determination of public safety-related setbacks",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3455.html,Maine
"Title 10, §1415-E: Administration of standards",https://legislature.maine.gov/legis/statutes/10/title10sec1415-E.html,Maine
"Title 35-A, §3210-I: Northern Maine Renewable Energy Development Program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3210-I.html,Maine
"Title 10, §1414: Advisory Council on Energy Efficiency Building Performance Standards",https://legislature.maine.gov/legis/statutes/10/title10sec1414.html,Maine
"Title 32, §8027: Renewals",https://legislature.maine.gov/legis/statutes/32/title32sec8027.html,Maine
"Title 10, §1415-G: Electric heating systems; subsidized housing",https://legislature.maine.gov/legis/statutes/10/title10sec1415-G.html,Maine
"Title 5, §7: State-owned motor vehicles",https://legislature.maine.gov/legis/statutes/5/title5sec7.html,Maine
"Title 38, §480-C: Prohibitions",https://legislature.maine.gov/legis/statutes/38/title38sec480-C.html,Maine
"Title 30-A, §4352: Zoning ordinances",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec4352.html,Maine
"Title 10, §9104: Records",https://legislature.maine.gov/legis/statutes/10/title10sec9104.html,Maine
"Title 38, §1731: Powers",https://legislature.maine.gov/legis/statutes/38/title38sec1731.html,Maine
"Title 2, §9: Governor's Energy Office",https://legislature.maine.gov/legis/statutes/2/title2sec9.html,Maine
"Title 5, §13063-B: Energy conservation programs",https://legislature.maine.gov/legis/statutes/5/title5sec13063-B.html,Maine
"Title 35-A, §3606: Rules",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3606.html,Maine
"Title 35-A, §3402: Legislative findings",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3402.html,Maine
"Title 37-B, §937: Party jurisdiction responsibilities - Article III",https://legislature.maine.gov/legis/statutes/37-B/title37-Bsec937.html,Maine
"Title 35-A, §1905: Funding of an energy cost reduction contract or a physical energy storage contract",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1905.html,Maine
"Title 35-A, §3209-C: Net energy billing cost recovery",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3209-C.html,Maine
"Title 32, §8028: Rules",https://legislature.maine.gov/legis/statutes/32/title32sec8028.html,Maine
"Title 35-A, §3209-A: Net energy billing",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3209-A.html,Maine
"Title 38, §1604: Lead-acid batteries",https://legislature.maine.gov/legis/statutes/38/title38sec1604.html,Maine
"Title 30-A, §5702: Limitation",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec5702.html,Maine
"Title 35-A, §3204: Divestiture of generation",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3204.html,Maine
"Title 10, §9203: Powers",https://legislature.maine.gov/legis/statutes/10/title10sec9203.html,Maine
"Title 35-A, §3451: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3451.html,Maine
"Title 10, §1418: Municipal administration",https://legislature.maine.gov/legis/statutes/10/title10sec1418.html,Maine
"Title 35-A, §10115: Federal energy programs",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10115.html,Maine
"Title 35-A, §3495: Standards",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3495.html,Maine
"Title 32, §1202-B: Issuance and scope of licenses",https://legislature.maine.gov/legis/statutes/32/title32sec1202-B.html,Maine
"Title 10, §1417: Promulgation of rules",https://legislature.maine.gov/legis/statutes/10/title10sec1417.html,Maine
"Title 10, §1411: Title",https://legislature.maine.gov/legis/statutes/10/title10sec1411.html,Maine
"Title 35-A, §10210: Conformity to changed standards",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10210.html,Maine
"Title 20-A, §10201: Establishment",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec10201.html,Maine
"Title 22, §334-A: Nursing facility projects",https://legislature.maine.gov/legis/statutes/22/title22sec334-A.html,Maine
"Title 35-A, §3609: Repeal; authority for legislation",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3609.html,Maine
"Title 20-A, §15908-A: School energy efficiency standards rules",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec15908-A.html,Maine
"Title 5, §5014: State electrical use",https://legislature.maine.gov/legis/statutes/5/title5sec5014.html,Maine
"Title 38, §1303-C: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec1303-C.html,Maine
"Title 35-A, Chapter 34-A: EXPEDITED PERMITTING OF GRID-SCALE WIND ENERGY DEVELOPMENT",https://legislature.maine.gov/legis/statutes/35-A/title35-Ach34-Asec0.html,Maine
"Title 35-A, §1907: Revenues from energy cost reduction contracts and physical energy storage contracts",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1907.html,Maine
"Title 35-A, §3407: Maine Offshore Wind Renewable Energy and Economic Development Program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3407.html,Maine
"Title 10, §1413: Definitions",https://legislature.maine.gov/legis/statutes/10/title10sec1413.html,Maine
"Title 38, §576-A: Greenhouse gas emissions reductions",https://legislature.maine.gov/legis/statutes/38/title38sec576-A.html,Maine
"Title 32, §18139: Propane and natural gas energy auditor",https://legislature.maine.gov/legis/statutes/32/title32sec18139.html,Maine
"Title 5, §5006: Maine Energy Resources Development Program",https://legislature.maine.gov/legis/statutes/5/title5sec5006.html,Maine
"Title 10, §1415: Energy efficiency standards",https://legislature.maine.gov/legis/statutes/10/title10sec1415.html,Maine
"Title 35-A, §10162: Conformity to changed standards",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10162.html,Maine
"Title 35-A, §3208: Stranded cost recovery",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3208.html,Maine
"Title 38, §1705: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec1705.html,Maine
"Title 7, §2: -- duties",https://legislature.maine.gov/legis/statutes/7/title7sec2.html,Maine
"Title 35-A, §3144: Emergency response plans",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3144.html,Maine
"Title 22, §676: Coordination and liaison with federal agencies",https://legislature.maine.gov/legis/statutes/22/title22sec676.html,Maine
"Title 5, §5004: Director of Office of Energy Resources",https://legislature.maine.gov/legis/statutes/5/title5sec5004.html,Maine
"Title 30, Chapter 1: COUNTY OFFICERS",https://legislature.maine.gov/legis/statutes/30/title30ch1sec0.html,Maine
"Title 38, §567: Certification of underground tank installers",https://legislature.maine.gov/legis/statutes/38/title38sec567.html,Maine
"Title 35-A, §10119: Heating Fuels Efficiency and Weatherization Fund",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10119.html,Maine
"Title 35-A, §1903: Legislative findings",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1903.html,Maine
"Title 35-A, §10114: Training for energy auditors",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10114.html,Maine
"Title 35-A, §3607: Tracking; biennial report",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3607.html,Maine
"Title 10, §9201: Definitions",https://legislature.maine.gov/legis/statutes/10/title10sec9201.html,Maine
"Title 5, §3305-B: Additional powers; energy policy",https://legislature.maine.gov/legis/statutes/5/title5sec3305-B.html,Maine
"Title 32, Chapter 88: VOLUNTARY CERTIFICATION PROGRAM FOR ENERGY AUDITORS",https://legislature.maine.gov/legis/statutes/32/title32ch88sec0.html,Maine
"Title 35-A, §10157: Property owners",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10157.html,Maine
"Title 10, §1415-H: Certification of compliance",https://legislature.maine.gov/legis/statutes/10/title10sec1415-H.html,Maine
"Title 30-A, §5953-C: Loans for energy efficiency improvements in municipal and school buildings",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec5953-C.html,Maine
"Title 35-A, §3132-B: Small transmission and distribution projects",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3132-B.html,Maine
"Title 35-A, §3153-A: Public Utilities Commission to develop proposals to improve transmission and distribution utility rate design",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3153-A.html,Maine
"Title 35-A, §9211-A: Municipal Gigabit Broadband Network Access Fund",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec9211-A.html,Maine
"Title 5, §1743-A: Competitive bids; advertisement",https://legislature.maine.gov/legis/statutes/5/title5sec1743-A.html,Maine
"Title 22, §329: Certificate of need required",https://legislature.maine.gov/legis/statutes/22/title22sec329.html,Maine
"Title 35-A, §3152: Policy and findings",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3152.html,Maine
"Title 35-A, §3134-A: New England Electric Power Pool Agreement",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3134-A.html,Maine
"Title 5, §1762: No facility constructed without life-cycle costs",https://legislature.maine.gov/legis/statutes/5/title5sec1762.html,Maine
"Title 35-A, §3201: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3201.html,Maine
"Title 30-A, Chapter 225: MAINE MUNICIPAL BOND BANK",https://legislature.maine.gov/legis/statutes/30-A/title30-Ach225sec0.html,Maine
"Title 10, §166: On-site storage of spent fuel assemblies; limitations",https://legislature.maine.gov/legis/statutes/10/title10sec166.html,Maine
"Title 38, §1316-G: Tire stockpile abatement program",https://legislature.maine.gov/legis/statutes/38/title38sec1316-G.html,Maine
"Title 35-A, §3309: Performance of contracts; commercially reasonable business practices",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3309.html,Maine
"Title 32, §1151: Appointment; vacancies; removal; compensation",https://legislature.maine.gov/legis/statutes/32/title32sec1151.html,Maine
"Title 35-A, §10158: Annual report",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10158.html,Maine
"Title 14, §6000: Definitions",https://legislature.maine.gov/legis/statutes/14/title14sec6000.html,Maine
"Title 36, §3209: Reports; International Fuel Tax Agreement; payment of tax; allowance for losses",https://legislature.maine.gov/legis/statutes/36/title36sec3209.html,Maine
"Title 38, §1304: Department; powers and duties",https://legislature.maine.gov/legis/statutes/38/title38sec1304.html,Maine
"Title 10, §9724: Application",https://legislature.maine.gov/legis/statutes/10/title10sec9724.html,Maine
"Title 10, §9101: Establishment",https://legislature.maine.gov/legis/statutes/10/title10sec9101.html,Maine
"Title 10, §1415-C: Mandatory standards for residential construction",https://legislature.maine.gov/legis/statutes/10/title10sec1415-C.html,Maine
"Title 20-A, §10205: Records",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec10205.html,Maine
"Title 35-A, §3146: Climate change protection plan",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3146.html,Maine
"Title 10, §151: Federal license or permit required",https://legislature.maine.gov/legis/statutes/10/title10sec151.html,Maine
"Title 35, §13-C: Long-range energy plan",https://legislature.maine.gov/legis/statutes/35/title35sec13-C.html,Maine
"Title 35-A, §10202: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10202.html,Maine
"Title 35-A, §3132-C: Nonwires alternatives investigation and recommendations",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3132-C.html,Maine
"Title 32, §8026: Penalty provisions",https://legislature.maine.gov/legis/statutes/32/title32sec8026.html,Maine
"Title 35-A, §122: Energy infrastructure corridors",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec122.html,Maine
"Title 5, §1769: Outdoor lighting",https://legislature.maine.gov/legis/statutes/5/title5sec1769.html,Maine
Title 35-A: PUBLIC UTILITIES,https://legislature.maine.gov/legis/statutes/35-A/title35-Ach0sec0.html,Maine
"Title 35-A, §3303: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3303.html,Maine
"Title 38, §580-A: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec580-A.html,Maine
"Title 35-A, §3602: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3602.html,Maine
"Title 35-A, §1901: Short title",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1901.html,Maine
"Title 36, §1760: Exemptions",https://legislature.maine.gov/legis/statutes/36/title36sec1760.html,Maine
"Title 35, Chapter 172: SMALL POWER PRODUCTION FACILITIES AND COGENERATION FACILITIES",https://legislature.maine.gov/legis/statutes/35/title35ch172sec0.html,Maine
"Title 38, §344-A: Outside review of applications",https://legislature.maine.gov/legis/statutes/38/title38sec344-A.html,Maine
"Title 5, §1591: Remaining balances of nonlapsing funds",https://legislature.maine.gov/legis/statutes/5/title5sec1591.html,Maine
"Title 35-A, §10004: Federal energy programs",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10004.html,Maine
"Title 29-A, §1902: Brakes",https://legislature.maine.gov/legis/statutes/29-A/title29-Asec1902.html,Maine
"Title 38, §410-K: Program review",https://legislature.maine.gov/legis/statutes/38/title38sec410-K.html,Maine
"Title 32, §1101: Definitions",https://legislature.maine.gov/legis/statutes/32/title32sec1101.html,Maine
"Title 30-A, §903: Authority to contract for energy conservation improvements",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec903.html,Maine
"Title 35-A, §3410: Determination of effect on scenic character and related existing uses",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3410.html,Maine
"Title 35-A, §3133: Purchase of transmission capacity prohibited without prior order of the commission",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3133.html,Maine
"Title 32, §8023: Certification",https://legislature.maine.gov/legis/statutes/32/title32sec8023.html,Maine
"Title 36, §6652: Reimbursement allowed; limitation",https://legislature.maine.gov/legis/statutes/36/title36sec6652.html,Maine
"Title 38, §840: Establishment of water levels",https://legislature.maine.gov/legis/statutes/38/title38sec840.html,Maine
"Title 37-B, §1122: Exemptions",https://legislature.maine.gov/legis/statutes/37-B/title37-Bsec1122.html,Maine
"Title 30-A, §4722: Maine State Housing Authority established; powers, duties and restrictions",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec4722.html,Maine
"Title 30-A, §3008: Ordinances relating to cable television systems",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec3008.html,Maine
"Title 35-A, §1714: Electric Ratepayer Advisory Council",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1714.html,Maine
"Title 35-A, §10204: Consumer underwriting and disclosure",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10204.html,Maine
"Title 38, §631: Purposes",https://legislature.maine.gov/legis/statutes/38/title38sec631.html,Maine
"Title 30-A, §3271: Energy commissions",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec3271.html,Maine
"Title 36, §656: Real estate",https://legislature.maine.gov/legis/statutes/36/title36sec656.html,Maine
"Title 3, §959: Scheduling guideline for review of agencies or independent agencies",https://legislature.maine.gov/legis/statutes/3/title3sec959.html,Maine
"Title 35-A, §3206-A: Marketing; investor-owned utilities; penalties",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3206-A.html,Maine
"Title 10, §162: Limitation",https://legislature.maine.gov/legis/statutes/10/title10sec162.html,Maine
"Title 30-A, §4802: Institutional loans",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec4802.html,Maine
"Title 33, §1422: Policy",https://legislature.maine.gov/legis/statutes/33/title33sec1422.html,Maine
"Title 10, §9205: Tax exemption",https://legislature.maine.gov/legis/statutes/10/title10sec9205.html,Maine
"Title 10, §151-A: Coordination and liaison with federal agencies",https://legislature.maine.gov/legis/statutes/10/title10sec151-A.html,Maine
"Title 10, §1063: Certificates of approval",https://legislature.maine.gov/legis/statutes/10/title10sec1063.html,Maine
"Title 35-A, Chapter 95: ENERGY EFFICIENCY",https://legislature.maine.gov/legis/statutes/35-A/title35-Ach95sec0.html,Maine
"Title 20-A, §10202: Goals and objectives",https://legislature.maine.gov/legis/statutes/20-A/title20-Asec10202.html,Maine
"Title 2, §6: Salaries subject to adjustment by Governor",https://legislature.maine.gov/legis/statutes/2/title2sec6.html,Maine
"Title 30, §3861: Energy commissions",https://legislature.maine.gov/legis/statutes/30/title30sec3861.html,Maine
"Title 35-A, §1904: Energy cost reduction contracts; physical energy storage contracts",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1904.html,Maine
"Title 5, §1742-B: Municipal building ordinances",https://legislature.maine.gov/legis/statutes/5/title5sec1742-B.html,Maine
"Title 35-A, §10161: Construction; carbon emissions reductions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10161.html,Maine
"Title 35-A, §3212: Standard offer",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3212.html,Maine
"Title 5, Chapter 313-A: ENERGY RESOURCES COUNCIL",https://legislature.maine.gov/legis/statutes/5/title5ch313-Asec0.html,Maine
"Title 7, §320-A:  Agriculture, food system and forest products infrastructure investment",https://legislature.maine.gov/legis/statutes/7/title7sec320-A.html,Maine
"Title 35-A, §3458: Judicial appeal; municipal permitting decision",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3458.html,Maine
"Title 35-A, §10101: Short title",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10101.html,Maine
"Title 5, §13085: State standards for appliance energy efficiency",https://legislature.maine.gov/legis/statutes/5/title5sec13085.html,Maine
"Title 32, Chapter 87: TRAINING AND CERTIFICATION PROGRAM FOR INSTALLERS OF SOLAR ENERGY EQUIPMENT",https://legislature.maine.gov/legis/statutes/32/title32ch87sec0.html,Maine
"Title 35-A, §1909-A: Regional natural gas monitoring; commission intervention",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec1909-A.html,Maine
"Title 35, §13-B: Purchase of generating capacity, energy or transmission capacity or fuel conversion of generating facilities prohibited without prior order of the commission",https://legislature.maine.gov/legis/statutes/35/title35sec13-B.html,Maine
"Title 35-A, §10155: Consumer underwriting and disclosure",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10155.html,Maine
"Title 12, §404: Finance Authority of Maine",https://legislature.maine.gov/legis/statutes/12/title12sec404.html,Maine
"Title 17-A, §101: General rules for defenses and affirmative defenses; justification",https://legislature.maine.gov/legis/statutes/17-A/title17-Asec101.html,Maine
"Title 38, §582: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec582.html,Maine
"Title 36, Chapter 822: TAX CREDITS",https://legislature.maine.gov/legis/statutes/36/title36ch822sec0.html,Maine
"Title 35-A, §4403: Surplus energy pool established",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec4403.html,Maine
"Title 26, Chapter 43: APPRENTICESHIP IN ENERGY FACILITY CONSTRUCTION",https://legislature.maine.gov/legis/statutes/26/title26ch43sec0-3.html,Maine
"Title 38, §2101-B: Food recovery hierarchy",https://legislature.maine.gov/legis/statutes/38/title38sec2101-B.html,Maine
"Title 32, §8021: Legislative findings and intent",https://legislature.maine.gov/legis/statutes/32/title32sec8021.html,Maine
"Title 10, §1416: Procedure",https://legislature.maine.gov/legis/statutes/10/title10sec1416.html,Maine
"Title 20-A, Chapter 609: SCHOOL CONSTRUCTION",https://legislature.maine.gov/legis/statutes/20-A/title20-Ach609sec0.html,Maine
"Title 12, §685-B: Development review and approval",https://legislature.maine.gov/legis/statutes/12/title12sec685-B.html,Maine
"Title 38, §568-B: Clean-up and Response Fund Review Board created",https://legislature.maine.gov/legis/statutes/38/title38sec568-B.html,Maine
"Title 30-A, §4452: Enforcement of land use laws and ordinances",https://legislature.maine.gov/legis/statutes/30-A/title30-Asec4452.html,Maine
"Title 38, §361-A: Definitions",https://legislature.maine.gov/legis/statutes/38/title38sec361-A.html,Maine
"Title 35-A, §10116: Energy Conservation Small Business Revolving Loan Program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10116.html,Maine
"Title 35-A, §10103: Efficiency Maine Trust",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10103.html,Maine
"Title 10, §54: Construction",https://legislature.maine.gov/legis/statutes/10/title10sec54.html,Maine
"Title 30-A, Chapter 301: PLANTATIONS",https://legislature.maine.gov/legis/statutes/30-A/title30-Ach301sec0.html,Maine
"Title 35-A, §3622: Definitions",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3622.html,Maine
"Title 35-A, §10151: Short title",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec10151.html,Maine
"Title 35-A, §3105: Heat pump program",https://legislature.maine.gov/legis/statutes/35-A/title35-Asec3105.html,Maine
